Country Name,Country Code,Access to clean fuels and technologies for cooking (% of population),"Access to clean fuels and technologies for cooking, rural (% of rural population)","Access to clean fuels and technologies for cooking, urban (% of urban population)",Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Adequacy of social insurance programs (% of total welfare of beneficiary households),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),Adequacy of social safety net programs (% of total welfare of beneficiary households),Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),Adjusted net national income per capita (current US$),Adjusted savings: education expenditure (current US$),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Adolescents out of school (% of lower secondary school age),"Adolescents out of school, female (% of female lower secondary school age)","Adolescents out of school, male (% of male lower secondary school age)",Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Birth rate, crude (per 1,000 people)",Births attended by skilled health staff (% of total),"Children in employment, study and work (% of children in employment, ages 7-14)","Children in employment, total (% of children ages 7-14)","Children in employment, work only (% of children in employment, ages 7-14)",Children out of school (% of primary school age),"Children out of school, female (% of female primary school age)","Children out of school, male (% of male primary school age)","Children out of school, primary","Children out of school, primary, female","Children out of school, primary, male","Community health workers (per 1,000 people)",Compensation of employees (% of expense),Compensation of employees (current LCU),"Compulsory education, duration (years)",Control of Corruption: Estimate,Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth total (% of people ages 15-24)",Multidimensional poverty headcount ratio (World Bank) (% of population),Multilateral debt service (% of public and publicly guaranteed debt service),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,Pregnant women receiving prenatal care (%),Proportion of people living below 50 percent of median income (%),"School enrollment, primary (gross), gender parity index (GPI)","School enrollment, secondary (gross), gender parity index (GPI)","School enrollment, tertiary (gross), gender parity index (GPI)",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Terms of trade adjustment (constant LCU),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Unemployment with advanced education (% of total labor force with advanced education),Unemployment with basic education (% of total labor force with basic education),Unemployment with intermediate education (% of total labor force with intermediate education),"Unemployment, total (% of total labor force) (national estimate)",Urban population (% of total population),"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",Wanted fertility rate (births per woman),Women who were first married by age 15 (% of women ages 20-24),Women who were first married by age 18 (% of women ages 20-24),Composite Index,Rank
Palau,PLW,-3563424903.4822655,-3563424900.246849,-3563424905.980182,-3563424850.6780987,-3563424851.957266,-3563424850.1947656,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,3896175210.5365634,17304734644.82691,-3563424911.7605157,9433856870.314997,11780614209.932703,11780614209.394688,41.25795243416667,9.83424556625,31.42370686833334,-3563424932.9947658,8604990793.809723,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,11245320236.748144,11266257585.716438,828162617.9356946,173869852.85510507,2839415545.0173144,2839416753.225879,-3523901237.0164833,-3523901234.8152995,-3523901235.701012,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,-3563424850.209599,-3563424853.691339,-3563424871.428522,-1869623656.743472,24130415469.000496,7154729322.57531,10539279015.629528,14487319854.167421,7317391794.169072,22143202162.532925,-1808173240.0293329,7508025424.742319,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,75.74629166666666,-3523901184.063026,-3523901182.1994905,-3523901183.0114126,22863314617.534653,24892153482.812508,24892153489.537506,0.007490176336903861,94.0
Guam,GUM,-3563424884.36142,-3563424892.310584,-3563424875.511669,-3563424849.703099,-3563424849.703099,-3563424849.703099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,3896175210.5365634,17304734644.82691,-3563424895.656224,9433856870.314997,11780614209.932703,11780614209.394688,55.70354775458333,12.498566487833331,43.20498126708333,-3563424926.439057,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,2942913802.3481135,1780966706932.684,687309313.2447337,-1684531539.4258404,2580611835.775346,2608402107.9847126,-3563424944.361449,-3563424941.3044605,-3563424942.6492405,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,-3563424850.075149,-3563424859.5978374,-3563424850.6835723,-1684531539.6442606,24130415469.000496,7154729322.57531,10539279015.629528,14487319854.167421,7317391794.169072,22143202162.532925,-2053235045.9687455,7508025424.742319,5150089740.478618,4903608270.691173,5135914276.179225,23226500698.31364,94.20187500000002,-3563424857.091636,-3563424864.646706,-3563424861.3184414,22863314617.534653,24892153482.812508,24892153489.537506,-0.016757619835543296,95.0
Lebanon,LBN,-3563424884.36142,-3563424892.310584,-3563424875.511669,-3563424850.1322656,-3563424851.4780993,-3563424850.003099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839420347.507359,3479497635.3663616,-3563424924.56864,9433856870.314997,11780614209.932703,11780614209.394688,52.50840422791666,10.680229984874998,41.828174242500005,-3563424928.716766,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,2839415556.0673556,3191201498868.254,9.208333333333334,-2879550211.498366,2839415542.491203,2839416009.0823903,-3563424943.569631,-3563424935.63981,-3563424937.724554,25352810712.96977,25485332453.60962,32097437889.977066,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424934.291975,-3563424860.143423,-3563424860.691995,-3563424901.5488887,-2879550211.9841886,24130415469.000496,7154729322.57531,10539279015.629528,14487319854.167421,11382638455.218475,22143202162.532925,-212089428055.7864,7508025421.523758,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,87.61633333333333,-3563424864.673576,-3563424887.9253316,-3563424881.92934,22863314617.534653,24892153482.812508,24892153489.537506,-0.026162159553954067,96.0
Turkmenistan,TKM,-3563424849.903099,-3563424850.0530987,-3563424849.7364326,-3563424849.886432,-3563424849.9155993,-3563424849.844765,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,27183899333.079895,11800270332.190353,-3563424922.7849326,9433856870.314997,11780614209.932703,11780614209.394688,56.83265214041668,6.750265292208334,50.08238684875,-3563424922.7276406,33268413747.324154,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,2942913802.3481135,1780966706932.684,10.458333333333334,-2879550211.8909097,2839415539.170132,2839415829.9543567,-3563424943.439451,-3563424941.4599195,-3563424942.5218253,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424942.7356815,-3563424854.949038,-3563424853.527529,-3563424866.1182537,-2879550210.6259685,24130415469.000496,7154729322.57531,10539279015.629528,14487319854.167421,7317391794.169072,22143202162.532925,624846228706.2396,7508025422.39959,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,49.358125,-3563424884.873692,-3563424883.9002166,-3563424884.4258366,22863314617.534653,24892153482.812508,24892153489.537506,-0.08630801764017239,97.0
Peru,PER,-3563424881.096849,-3563424926.4593487,-3563424865.4051824,-3563424862.403099,-3563424893.144766,-3563424852.403099,6576710346.564603,6576710344.059146,6576710338.877185,18216567501.18736,2839419166.9657817,6623507089.4621935,-3563424883.7999325,5534697040.179481,10306606778.733948,10306606777.892477,58.087933668333335,11.101068207791668,46.98686546041666,-3563424926.001349,4865232648.069486,32255922497.50681,32255922467.409855,32255922467.58057,5349604920.309833,25280986198.731953,25280986198.608017,5349635298.131562,25280999709.59648,25280997910.26315,33968147167.149223,2839415551.7777486,16035339388.337194,13.0,-2879550211.066444,2839415539.3941846,2839415753.122066,-3563424943.1067805,-3563424939.4940524,-3563424941.110083,15057012792.645746,15057012787.933258,16569050114.492933,19267687384.995625,19267687388.514072,19267687386.730885,-3563424944.585895,-3563424851.698099,-3563424850.930182,-3563424851.3097653,1377872963.5580533,-3563424910.443787,-3563424861.3577304,-3563424876.8496094,-3563424898.8842964,-2879550211.3148384,9533842535.868132,-3563424924.9780993,2839415535.8307285,2839415535.817802,33313634889.876846,22143202162.532925,2836515085.5933337,7508025426.054173,5.1433333333333335,3.1694166666666663,5.8061250000000015,4.160666666666667,76.45191666666666,-3563424908.9988074,-3563424898.358341,-3563424903.1294894,22863314617.534653,30484417292.04346,30484417297.122623,-0.13341116848221718,98.0
Dominica,DMA,-3563424862.730182,-3563424879.301016,-3563424852.4635158,-3563424857.1947656,-1832464344.8992732,-3546405511.0739713,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839420688.2306714,2859938096.340527,-3563424900.897349,12436545380.492338,19324649418.82506,19324649418.816498,51.54332049458333,15.305402922083337,36.237917573333334,-3563424931.5597653,8515674352.778346,32255922497.50681,32255922467.409855,32255922467.58057,5319339939.251905,15803546278.09321,15803546277.67646,5319340196.100936,15803546398.67153,15803546384.463196,33968147167.149223,2942913802.3481135,1780966706932.684,12.0,-2879550210.041504,2839415539.7244663,2839415857.395618,-3523901237.0164833,-3523901234.8152995,-3523901235.701012,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424894.4414144,18800532750.74753,18800532735.159267,-2750398410.421551,-2879550209.793392,24130415469.000496,7154729322.57531,6582935452.82327,17672649374.252537,7317391794.169072,22143202162.532925,624846228706.2396,7508025426.013341,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,68.548625,-3523901184.063026,-3523901182.1994905,-3523901183.0114126,22863314617.534653,24892153482.812508,24892153489.537506,-0.1501429921031546,99.0
Burkina Faso,BFA,-3563424938.215599,-3563424944.1926823,-3563424921.4010158,-3563424931.9197655,21400986060.33737,-3563424894.4197655,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839416008.4073796,3206783942.439694,-3563424826.3343487,-2553498339.699762,-2553498338.6249347,-2553498340.749265,92.33991129541666,5.166429392541667,87.17348190333333,-3563424905.8758073,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,-3563424905.9375634,-3563424903.1056247,-3563424908.695666,-3562383500.328099,-3562878219.203099,-3562930226.6614323,33968147167.149223,-2051387565.0819767,367278112395.7586,10.0,-2879550210.879951,2839415539.294447,2839415562.601417,-3563424944.9611664,-3563424943.997968,-3563424944.4271455,28647325403.148945,28647325385.456192,28647325384.961895,23903199088.57977,23903199093.40735,23903199090.83038,22719159068.49623,22719159082.04659,22719159086.54875,22719159084.17824,8120556991.115447,-3563424878.2638783,-3563424894.7326865,-3563424928.4434686,-2750398410.421551,-2879550211.186916,24130415469.000496,7154729322.57531,2839415535.7368336,3021179482.2225833,-2175721314.245012,22143202162.532925,98791508192.70833,7508025427.654592,5150089740.478618,4903608270.691173,5135914276.179225,28474272877.6252,25.406041666666667,-3563424939.02474,-3563424934.2178235,-3563424936.3500214,22863314617.534653,24892153482.812508,24892153489.537506,-0.15410754938074978,100.0
New Caledonia,NCL,-3563424884.36142,-3563424892.310584,-3563424875.511669,-3563424849.703099,-3563424849.703099,-3563424849.703099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,3896175210.5365634,17304734644.82691,-3563424922.959516,9433856870.314997,11780614209.932703,11780614209.394688,50.96478403583334,12.216941397249997,38.74784264,-3563424929.5364323,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,2942913802.3481135,1780966706932.684,687309313.2447337,-2596783879.354062,2580611835.775346,2608402107.9847126,-3563424945.152443,-3563424944.163967,-3563424944.605429,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,-3563424852.3620515,-3563424849.703099,-3563424856.866077,-2755674909.0173078,24130415469.000496,7154729322.57531,10539279015.629528,14487319854.167421,7317391794.169072,22143202162.532925,624846228706.2396,7508025424.742319,5150089740.478618,4903608270.691173,5135914276.179225,17810737761.046635,67.47866666666668,-3563424859.224039,-3563424866.584978,-3563424863.2839303,22863314617.534653,24892153482.812508,24892153489.537506,-0.1971577484248391,101.0
French Polynesia,PYF,-3563424884.36142,-3563424892.310584,-3563424875.511669,-3563424849.703099,-3563424849.703099,-3563424849.703099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,3896175210.5365634,17304734644.82691,-3563424907.1056824,9433856870.314997,11780614209.932703,11780614209.394688,48.05045756541666,10.037897326416665,38.0125602375,-3563424930.0016403,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,2942913802.3481135,1780966706932.684,687309313.2447337,-2596783879.354062,2580611835.775346,2608402107.9847126,-3563424944.36988,-3563424942.171209,-3563424943.0759225,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,-3563424849.703115,-3563424852.1169963,-3563424860.1087823,-2755674909.0173078,24130415469.000496,7154729322.57531,10539279015.629528,14487319854.167421,7317391794.169072,22143202162.532925,624846228706.2396,7508025424.742319,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,59.88329166666667,-3563424863.878704,-3563424871.5673523,-3563424868.390955,22863314617.534653,24892153482.812508,24892153489.537506,-0.22784773618402995,102.0
Antigua and Barbuda,ATG,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424850.7364326,-3563424850.690599,-3563424849.715599,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,3896175210.5365634,2865969521.135945,-3563424904.768849,9433856870.314997,11780614209.932703,11780614209.394688,45.02650597041667,11.63323707291667,33.39326889666667,-3563424931.7838902,19801821135.356354,32255922497.50681,32255922467.409855,32255922467.58057,14497179160.9936,12928341250.26005,12928341249.689735,14497179222.648842,12805986176.538532,12805972596.89003,33968147167.149223,2942913802.3481135,1780966706932.684,11.0,-2879550209.948921,2839415539.6097493,2839416190.9150677,-3523901237.0164833,-3523901234.8152995,-3523901235.701012,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,641304800.5974764,641304800.0245672,-2750398410.421551,-2879550209.8700123,24130415469.000496,7154729322.57531,17611968053.768913,22515418320.339848,7317391794.169072,22143202162.532925,624846228706.2396,7508025425.673757,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,26.85258333333333,-3523901184.063026,-3523901182.1994905,-3523901183.0114126,22863314617.534653,24892153482.812508,24892153489.537506,-0.24204816627669032,103.0
Bahrain,BHR,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,7508038066.345067,8102126531.619174,-3563424931.820515,7990595189.993222,12644315632.531746,12644315634.749315,33.409685840833326,3.528127282958333,29.881558557500004,-3563424929.716099,11382638536.511187,32255922497.50681,32255922467.409855,32255922467.58057,7990595189.839274,21647609492.277096,21647609494.26198,7990598788.296277,21647610735.44253,21647611757.19253,33968147167.149223,7508025462.971377,8342228242.47334,1878893412.844328,-2879550210.494053,2839415538.557249,2839416309.940817,-3563424943.73258,-3563424943.8494134,-3563424943.824957,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,-3563424849.762902,-3563424849.7231674,-3563424850.7469497,-2879550211.1137643,24130415469.000496,7154729322.57531,14393435667.057297,12005392547.328604,1016839844.994105,22143202162.532925,2211787274.003861,7508025421.83709,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,88.871,-3563424852.4410205,-3563424852.9184413,-3563424852.8212414,22863314617.534653,24892153482.812508,24892153489.537506,-0.29268048224476206,104.0
Bhutan,BTN,-3563424884.2864323,-3563424898.1010156,-3563424854.3489323,-3563424872.340599,-3563424881.7447658,-3563424850.8822656,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839417147.5664372,2902584860.2688603,-3563424907.9624324,7447320737.866559,7447320734.795842,7447320740.701503,53.307711279166675,8.026054416041667,45.281656861666654,-3563424927.6790986,3580720566.3029523,32255922497.50681,32255922467.409855,32255922467.58057,3572707698.338284,3572707696.8606358,3572707699.7229877,3572718336.80245,3572712225.4691167,3572713799.1357837,29494568856.805058,7508025452.738246,13136127587.348341,687309313.2447337,-2879550209.6817527,2839415538.4994526,2839415603.351511,-3563424945.3960614,-3563424945.2382894,-3563424945.3047976,33457368354.756516,31217970691.18787,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424920.079474,-3563424856.534849,-3563424884.6643467,-3563424907.575481,-2879550209.8394055,24130415469.000496,7154729322.57531,2839415535.8264318,15299535116.913834,6017469484.070175,22143202162.532925,-4685899332.778459,7508025420.923757,17371162225.82576,15450553993.770285,15450553996.801363,8365591343.7091255,35.68079166666667,-3563424927.8518295,-3563424911.466062,-3563424918.2811904,22863314617.534653,24892153482.812508,24892153489.537506,-0.3082592682784978,105.0
Bermuda,BMU,-3563424884.36142,-3563424892.310584,-3563424875.511669,-3563424849.703099,-3563424849.703099,-3563424849.703099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,3896175210.5365634,7836558751.851262,-3563424929.0725574,9433856870.314997,11780614209.932703,11780614209.394688,45.20765508166667,21.685270333750008,23.522384746249998,-3563424935.065599,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,2942913802.3481135,1780966706932.684,13.0,-2879550209.526875,2580611835.775346,2608402107.9847126,-3523901237.0164833,-3523901234.8152995,-3523901235.701012,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,-3563424849.7712765,-3563424849.7441764,-2750398410.421551,-2879550209.844152,24130415469.000496,7154729322.57531,29527722396.40935,28343682383.658245,23842118458.23142,22143202162.532925,8606796982.60261,7508025424.742319,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,100.0,-3523901184.063026,-3523901182.1994905,-3523901183.0114126,22863314617.534653,24892153482.812508,24892153489.537506,-0.3157518558932503,106.0
Morocco,MAR,-3563424853.711432,-3563424858.0676823,-3563424850.1239324,-3563424859.253099,-3563424867.836432,-3563424852.323932,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839417734.6821346,7195559155.3371935,-3563424916.999349,7798021553.980995,7798021556.64568,7798021551.434308,53.72954322208334,8.675129294791665,45.05441392666666,-3563424925.8812237,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,-1448360975.5662038,13497702425.305143,13497702423.06463,-1448061864.7585576,13497868609.430727,13497833298.722395,33968147167.149223,-2051387564.5345697,86947320968.00864,9.0,-2879550210.990574,2839415539.391199,2839415665.9560895,-3563424944.877361,-3563424942.6092496,-3563424943.1730666,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-3563424905.3324437,-3563424872.6741214,-3563424870.1977134,-3563424890.4996643,-2879550211.0327773,24130415469.000496,7154729322.57531,2839415535.7747974,12722988834.38418,-3563424944.6556053,22143202162.532925,17012948531.208334,7508025420.38709,5150089740.478618,24672430308.423584,24672430310.565784,11502523327.13312,58.91908333333333,-3563424910.5961533,-3563424898.4990406,-3563424901.5184007,22863314617.534653,24892153482.812508,24892153489.537506,-0.35743519747772945,107.0
Brunei Darussalam,BRN,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,-3563424849.703099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,2839435866.297617,3192412283.2788615,-3563424930.067307,9262585116.163307,25504287056.476482,25504287057.176285,43.53084476083334,5.746006741791667,37.78483801958333,-3563424929.668474,2839415626.3371944,32255922497.50681,32255922467.409855,32255922467.58057,9262585115.437605,12928341250.26005,12928341249.689735,9262585332.04486,12805986176.538532,12805972596.89003,33968147167.149223,2942913802.3481135,1780966706932.684,3114540712.459614,-2879550210.1029854,2839415536.976862,2839416162.1596203,-3563424943.7671165,-3563424942.437584,-3563424942.9693565,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,-3563424849.798903,-3563424863.026006,-2750398410.421551,-2879550209.5925717,24130415469.000496,7154729322.57531,7508025420.833598,7508025420.857877,7508025421.246547,22143202162.532925,-2437148021.3375,7508025420.259633,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,75.38,-3563424856.627861,-3563424857.4047375,-3563424857.1046963,22863314617.534653,24892153482.812508,24892153489.537506,-0.35843504597471737,108.0
Northern Mariana Islands,MNP,-3563424884.36142,-3563424892.310584,-3563424875.511669,-3563424849.7405987,-3563424849.703099,-3563424849.7572656,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,3896175210.5365634,17304734644.82691,-3563424903.181474,9433856870.314997,11780614209.932703,11780614209.394688,47.30040320916665,6.825980807083333,40.47442240333334,-3439242114.959653,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,2942913802.3481135,1780966706932.684,687309313.2447337,-2596783879.354062,2580611835.775346,2608402107.9847126,-3523901237.0164833,-3523901234.8152995,-3523901235.701012,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,-3563424850.761831,-3563424870.8077407,-3563424862.3024154,-2755674909.0173078,24130415469.000496,7154729322.57531,10539279015.629528,14487319854.167421,7317391794.169072,22143202162.532925,9070860833.024734,7508025424.742319,5150089740.478618,4903608270.691173,5135914276.179225,7489755060.39678,91.087875,-3523901184.063026,-3523901182.1994905,-3523901183.0114126,22863314617.534653,24892153482.812508,24892153489.537506,-0.3669366359075311,109.0
Isle of Man,IMN,-3563424884.36142,-3563424892.310584,-3563424875.511669,-3563424849.703099,-3563424849.703099,-3563424849.703099,16094756160.643936,15698644896.536465,15960783173.307724,18216567501.18736,3896175210.5365634,17304734644.82691,-3563424923.2996407,9433856870.314997,11780614209.932703,11780614209.394688,54.89229921708334,29.502363819583334,25.389935397083335,-3563424935.3063073,14804414233.408808,32255922497.50681,32255922467.409855,32255922467.58057,8862058014.252947,12928341250.26005,12928341249.689735,8648450301.955097,12805986176.538532,12805972596.89003,33968147167.149223,2942913802.3481135,1780966706932.684,687309313.2447337,-2596783879.354062,2580611835.775346,2608402107.9847126,-3523901237.0164833,-3523901234.8152995,-3523901235.701012,25352810712.96977,25485332453.60962,25410192641.42048,17302160156.294125,17302160158.26914,17302160157.280727,12513580186.761185,13780238493.302658,12513580241.240398,12513580240.959106,8120556991.115447,-2877346213.7682605,641304801.0227922,-3563424849.703099,641304800.239336,-2755674909.0173078,24130415469.000496,7154729322.57531,10539279015.629528,14487319854.167421,7317391794.169072,22143202162.532925,624846228706.2396,7508025424.742319,5150089740.478618,4903608270.691173,5135914276.179225,28753891336.04341,52.26541666666666,-3523901184.063026,-3523901182.1994905,-3523901183.0114126,22863314617.534653,24892153482.812508,24892153489.537506,-0.44245800128132445,110.0
Ecuador,ECU,-3563424856.2718487,-3563424866.5572658,-3563424850.657265,-3563424852.3572655,-3563424856.0572658,-3563424850.094765,14039127014.985199,14039127010.93548,14039127005.039377,18216567501.18736,2839418655.8562236,5179596099.120527,-3563424867.1893907,-623841875.5185808,11008851459.709814,11008851459.95307,58.08831806083334,9.807078075291669,48.28123998625001,-3563424925.5332656,7508025495.448341,32255922497.50681,32255922467.409855,32255922467.58057,-3687758654.361286,23835870180.932865,23835870181.71123,-3687729340.7000737,23835876534.30392,23835884134.05392,33968147167.149223,6467270971.312625,10213693479.157923,12.916666666666666,-2879550211.290953,2839415540.7022815,2839415815.7299976,-3563424943.0837455,-3563424940.533716,-3563424941.5197196,29065329670.13463,29065329664.430832,29065329670.31986,6285135308.51339,6285135309.934527,6285135309.19974,-2677832102.104714,-2677832022.9793468,-2677832023.181847,-2677832023.090597,4941297908.098652,-3563424913.762644,-3563424859.367883,-3563424867.4742694,-3563424884.879257,-2879550211.112934,24130415469.000496,865638700.0127329,2839415535.8439617,7975460311.243449,7317391794.169072,22143202162.532925,-1313389684.1483333,7508025423.2970915,3874613039.112388,3874613037.0930963,4056376987.064337,181763950.46574065,62.78233333333333,-3563424903.1123023,-3563424890.5357785,-3563424895.4539986,22863314617.534653,24892153482.812508,24892153489.537506,-0.46538271005899745,111.0
